"Praca Recepcjonista/ Recepcjonistka"	"http://www.pracuj.pl/praca/recepcjonista-recepcjonistka-krakow,oferta,3813566"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/hays%20poland,20008108"
"Praca Asystentka Zarządu – płatny staż"	"http://www.pracuj.pl/praca/asystentka-zarzadu-platny-staz-ozarow-mazowiecki,oferta,3813549"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/logart,20008006"
"Praca Finance and Banking Operations Specialist "	"http://www.pracuj.pl/praca/finance-and-banking-operations-specialist-krakow,oferta,3754251"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/hays%20poland,20008108"
"Praca Junior AP Accountant with German/Slovakian/Danish/Swedish/Finnish"	"http://www.pracuj.pl/praca/junior-ap-accountant-with-german-slovakian-danish-swedish-finnish-torun,oferta,3754348"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/g-force%20sp.%20z%20o.o.,20057788"
"Praca Analityk AML"	"http://www.pracuj.pl/praca/analityk-aml-warszawa,oferta,3758704"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/citi%20service%20center,20064973"
"Praca Specjalista Automatyk Utrzymania Ruchu"	"http://www.pracuj.pl/praca/specjalista-automatyk-utrzymania-ruchu-gliwice,oferta,3761025"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/horyzont%20s.c.bartosz%20nestorowicz-x44-%20joanna%20nestorowicz,26"
"Praca Starszy Konsultant w dziale Management Consulting - nowe technologie"	"http://www.pracuj.pl/praca/starszy-konsultant-w-dziale-management-consulting-nowe-technologie-warszawa,oferta,3761276"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/kpmg,37"
"Praca Tax Specialist"	"http://www.pracuj.pl/praca/tax-specialist-krakow-zabierzow-pow-krakowski,oferta,3762422"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/shell%20business%20operations,18800723"
"Praca Software Engineer - Java EE Developer "	"http://www.pracuj.pl/praca/software-engineer-java-ee-developer-wroclaw,oferta,3764647"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/redknee%20poland%20sp.%20z%20o.o.,20138583"
"Praca Praktykant w dziale Management Consulting - sektor finansowy"	"http://www.pracuj.pl/praca/praktykant-w-dziale-management-consulting-sektor-finansowy-warszawa,oferta,3764922"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/kpmg,37"
"Praca Team Leader/ Brygadzista"	"http://www.pracuj.pl/praca/team-leader-brygadzista-jelcz-laskowice,oferta,3765502"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/steripack%20medical%20poland%20sp.%20z%20o.o.,18797872"
"Praca Network Engineer"	"http://www.pracuj.pl/praca/network-engineer-wroclaw,oferta,3765697"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/css%20corp%20sp.%20z%20o.o.,20065967"
"Praca Superbohater Sprzedaży ...czyli Junior Account Manager"	"http://www.pracuj.pl/praca/superbohater-sprzedazy-czyli-junior-account-manager-krakow,oferta,3766278"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/grupa%20pracuj,18800136"
"Praca Stażysta/-ka w Dziale Sprzedaży"	"http://www.pracuj.pl/praca/stazysta-ka-w-dziale-sprzedazy-krakow,oferta,3766388"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/grupa%20pracuj,18800136"
"Praca Junior Account Manager"	"http://www.pracuj.pl/praca/junior-account-manager-krakow,oferta,3766464"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/grupa%20pracuj,18800136"
"Praca Junior Key Account"	"http://www.pracuj.pl/praca/junior-key-account-warszawa,oferta,3766747"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/loyalty%20partner%20polska%20sp.%20z%20o.o.%20(payback),20064601"
"Praca Technik Automatyk"	"http://www.pracuj.pl/praca/automatyk-katowice,oferta,3767225"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/autoneum%20poland,20000019"
"Praca Tester Oprogramowania w zakresie testów automatycznych"	"http://www.pracuj.pl/praca/tester-oprogramowania-w-zakresie-testow-automatycznych-wroclaw,oferta,3768393"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/capgemini%20software%20solutions%20center,20002367"
"Praca Asystent ds. Wsparcia Sprzedaży"	"http://www.pracuj.pl/praca/asystent-ds-wsparcia-sprzedazy-poznan,oferta,3773781"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/centranet%20s.c.,20085433"
"Praca Praktykant w dziale Management Consulting - regulacje"	"http://www.pracuj.pl/praca/praktykant-w-dziale-management-consulting-regulacje-warszawa,oferta,3769422"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/kpmg,37"
"Praca Vertriebsleiter/in"	"http://www.pracuj.pl/praca/vertriebsleiter-in-lodzkie,oferta,3772877"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/anonymous%20advertisement,0"
"Praca Specjalista ds. Konstrukcji Aluminiowych"	"http://www.pracuj.pl/praca/specjalista-ds-konstrukcji-aluminiowych-ochmanow-pow-wielicki,oferta,3770979"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/oknoplast,18798174"
"Praca Starszy Konsultant w dziale doradztwa podatkowego"	"http://www.pracuj.pl/praca/starszy-konsultant-w-dziale-doradztwa-podatkowego-warszawa,oferta,3771660"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/kpmg,37"
"Praca Analityk - Konsultant"	"http://www.pracuj.pl/praca/analityk-konsultant-warszawa,oferta,3771740"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/it%20connect%20sp.%20z%20o.o.,18802921"
"Praca Grafik"	"http://www.pracuj.pl/praca/grafik-warszawa,oferta,3771916"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/kpmg,37"
"Praca Konsultant w Zespole Instytucji Finansowych"	"http://www.pracuj.pl/praca/konsultant-w-zespole-instytucji-finansowych-warszawa,oferta,3771987"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/kpmg,37"
"Praca Programista C#, ASP.NET"	"http://www.pracuj.pl/praca/programista-c%23-asp-net-warszawa,oferta,3772063"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/nivette%20fleet%20management%20sp.%20z%20o.o,20019168"
"Praca Praktykant w dziale Marketingu i Komunikacji"	"http://www.pracuj.pl/praca/praktykant-w-dziale-marketingu-i-komunikacji-warszawa,oferta,3772739"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/kpmg,37"
"Praca Architekt"	"http://www.pracuj.pl/praca/architekt-poznan,oferta,3773231"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/elektrobudowa%20sa,20003969"
"Praca Kontroler Jakości "	"http://www.pracuj.pl/praca/kontroler-jakosci-jelcz-laskowice,oferta,3773272"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/steripack%20medical%20poland%20sp.%20z%20o.o.,18797872"
"Praca Software Engineer"	"http://www.pracuj.pl/praca/software-engineer-lodz,oferta,3773660"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/tomtom,20114914"
"Praca Office & Personal Assistant"	"http://www.pracuj.pl/praca/office-personal-assistant-warszawa,oferta,3773745"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/axa%20direct%20solutions,20111333"
"Praca HR IT Product Specialist/ HR IT Product Manager"	"http://www.pracuj.pl/praca/hr-it-product-specialist-hr-it-product-manager-krakow,oferta,3773995"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/advisory%20group%20test%20human%20resources,18"
"Praca Informatyk"	"http://www.pracuj.pl/praca/informatyk-warszawa,oferta,3774097"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/trakcja%20s.a.,20015117"
"Praca HCM Service Manager"	"http://www.pracuj.pl/praca/hcm-service-manager-krakow,oferta,3774098"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/advisory%20group%20test%20human%20resources,18"
"Praca Młodsza(-y) Księgowa(-y)"	"http://www.pracuj.pl/praca/mlodsza-y-ksiegowa-y-wroclaw,oferta,3774138"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/dms%20tax,20000023"
"Praca Autor Opracowujący Dokumentację Produktu"	"http://www.pracuj.pl/praca/autor-opracowujacy-dokumentacje-produktu-warszawa,oferta,3774141"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/basf%20polska%20sp.%20z%20o.o.,20182548"
"Praca Konsultant ds. Rekrutacji w zespole IT (outsourcing)"	"http://www.pracuj.pl/praca/konsultant-ds-rekrutacji-w-zespole-it-outsourcing-warszawa,oferta,3774230"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/g-force%20sp.%20z%20o.o.,20057788"
"Praca Magazynier"	"http://www.pracuj.pl/praca/magazynier-sroda-slaska,oferta,3774246"	"Praca Hays Poland"	"http://www.pracuj.pl/poznaj-pracodawce/basf%20polska%20sp.%20z%20o.o.,20182548"
